date,first_boot,last_shutdown,total_span,total_span_minutes
2025-03-27,08:59:02,18:01:25,9.02,542
2025-03-28,08:57:53,18:16:59,9.19,559
2025-03-31,09:50:45,18:56:06,9.05,545
2025-04-01,10:34:24,19:04:01,8.29,509
2025-04-02,09:18:44,18:26:33,9.07,547
2025-04-03,09:05:38,18:10:30,9.04,544
2025-04-04,09:03:07,18:00:32,8.57,537
2025-04-07,08:59:27,18:25:23,9.25,565
2025-04-08,10:08:47,19:08:31,8.59,539
2025-04-09,09:05:47,17:39:45,8.33,513
2025-04-10,09:02:53,18:07:06,9.04,544
2025-04-11,08:58:53,18:06:43,9.07,547
2025-04-14,10:18:59,,,
2025-04-17,,18:18:52,,
2025-04-18,09:14:28,,,
2025-04-21,,19:01:18,,
2025-04-22,09:15:05,19:04:24,9.49,589
2025-04-23,09:21:03,,,
2025-04-29,,19:09:38,,
2025-04-30,09:02:33,18:15:14,9.12,552
2025-05-02,09:03:37,,,
2025-05-08,,18:09:37,,
2025-05-09,09:00:28,18:34:39,9.34,574
2025-05-12,09:04:53,18:35:39,9.30,570
2025-05-13,09:09:36,,,
2025-05-14,,18:04:15,,
2025-05-15,09:05:05,18:06:59,9.01,541
2025-05-16,09:11:43,19:01:32,9.49,589
2025-05-19,09:07:06,18:51:27,9.44,584
2025-05-20,08:52:54,10:00:53,1.07,67
2025-05-21,,18:06:05,,
2025-05-22,09:05:40,18:11:05,9.05,545
2025-05-23,09:10:00,17:59:08,8.49,529
2025-05-26,09:05:24,18:03:59,8.58,538
2025-05-27,10:22:59,18:58:01,8.35,515
2025-05-28,09:14:25,18:41:55,9.27,567
2025-05-29,09:07:53,18:21:40,9.13,553
2025-05-30,09:05:47,18:09:41,9.03,543
2025-06-02,09:10:16,18:10:36,9.00,540
2025-06-04,09:17:25,19:16:13,9.58,598
2025-06-05,11:59:57,19:58:50,7.58,478
2025-06-09,09:13:17,18:27:51,9.14,554
2025-06-10,09:07:10,18:15:42,9.08,548
2025-06-11,09:58:09,18:57:36,8.59,539
2025-06-12,09:02:15,18:09:15,9.07,547
2025-06-13,09:02:03,18:05:10,9.03,543
2025-06-16,09:16:56,18:27:44,9.10,550
2025-06-17,09:09:52,18:10:21,9.00,540
2025-06-18,09:11:45,18:11:54,9.00,540
2025-06-19,09:12:11,18:52:01,9.39,579
2025-06-20,09:10:25,17:44:32,8.34,514
2025-06-23,09:13:18,18:17:23,9.04,544
2025-06-24,09:06:55,18:10:59,9.04,544
2025-06-25,08:56:17,18:07:56,9.11,551
2025-06-26,09:04:56,19:02:20,9.57,597
2025-06-27,08:57:45,17:29:19,8.31,511
2025-07-01,09:10:53,18:03:35,8.52,532
2025-07-02,09:20:55,18:36:08,9.15,555
2025-07-03,09:13:51,19:25:36,10.11,611
2025-07-04,11:31:05,19:27:48,7.56,476
2025-07-07,09:00:25,18:07:01,9.06,546
2025-07-08,09:16:06,18:19:46,9.03,543
2025-07-09,09:08:33,18:20:47,9.12,552
2025-07-10,09:12:32,18:27:22,9.14,554
2025-07-11,09:17:48,18:38:41,9.20,560
2025-07-14,09:14:23,18:41:13,9.26,566
2025-07-15,09:19:38,18:31:44,9.12,552
2025-07-16,09:13:08,18:32:13,9.19,559
2025-07-17,09:30:13,18:58:48,9.28,568
2025-07-18,09:18:03,18:36:39,9.18,558
2025-07-21,09:05:01,18:34:49,9.29,569
2025-07-22,09:20:24,18:22:56,9.02,542
2025-07-23,09:55:23,19:05:39,9.10,550
2025-07-24,09:18:20,18:41:38,9.23,563
2025-07-25,09:29:19,18:37:34,9.08,548
2025-07-27,07:28:08,,,
2025-10-27,10:26:27,18:02:20,7.35,455
2025-10-28,09:20:17,18:21:54,9.01,541
2025-10-29,09:06:10,18:05:23,8.59,539
2025-10-30,09:06:38,18:06:59,9.00,540
2025-10-31,09:13:23,18:23:14,9.09,549
2025-11-03,09:35:42,18:21:37,8.45,525
2025-11-04,09:07:36,18:09:02,9.01,541
2025-11-05,09:20:00,18:29:51,9.09,549
2025-11-06,09:05:59,16:57:30,7.51,471
2025-11-07,09:41:05,18:29:15,8.48,528
2025-11-10,10:12:32,15:57:43,5.45,345
2025-11-11,09:28:08,18:20:03,8.51,531
2025-11-12,09:05:32,17:50:16,8.44,524
2025-11-13,09:06:23,18:14:51,9.08,548
2025-11-14,09:08:05,17:53:14,8.45,525
2025-11-17,09:05:53,18:06:10,9.00,540
2025-11-18,09:11:31,18:13:47,9.02,542
2025-11-19,09:13:46,18:39:32,9.25,565
2025-11-20,09:35:26,18:41:37,9.06,546
2025-11-21,09:20:42,18:37:39,9.16,556
2025-11-24,09:10:27,18:08:50,8.58,538
2025-11-25,09:25:53,18:44:13,9.18,558
2025-11-26,09:08:51,19:18:40,10.09,609
2025-11-27,09:07:20,18:11:18,9.03,543
2025-11-28,09:00:46,12:53:06,3.52,232
2025-12-01,09:07:55,18:09:39,9.01,541
2025-12-02,09:12:54,18:13:53,9.00,540
2025-12-03,09:21:24,18:28:09,9.06,546
2025-12-04,09:23:10,14:29:26,5.06,306
